,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,logIndex,DeletedComment Date,Deleted CommitID,Deleted Filename
1699,1f9102c4e5c9fb9842e09c3c50f6402ed583456a,2.3/stretch/slim/Dockerfile,2.3/stretch/slim/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2018-01-26 22:31:57+00:00,2018-01-26 14:31:57-08:00,2019-04-04 13:56:52-07:00,2.3/stretch/slim/Dockerfile,1293,2019-04-04 20:56:52+00:00,4d1c8fac056bda0c876688d5caac31c01945b16a,2.3/stretch/slim/Dockerfile
598,c9208def0c430de0144408e16140bd49254c4ca9,2.4-rc/alpine/Dockerfile,2.4/alpine3.4/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-12-05 20:45:43+00:00,2016-12-05 12:45:43-08:00,2018-05-22 14:42:50-07:00,2.4-rc/alpine/Dockerfile,1908,2018-05-22 21:42:50+00:00,4981a43ffe73cee25a6459a9273c81ebd8f93ce3,2.4/alpine3.4/Dockerfile
1160,281978ef87397763e377774740d82c8d87674ae9,2.1/Dockerfile,2.1/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-09-20 18:41:43+00:00,2014-08-12 15:26:23-06:00,2017-07-05 11:06:41-07:00,2.1/Dockerfile,2032,2017-07-05 18:06:41+00:00,44c06085695b3654999e2fa23c744c091551883b,2.1/Dockerfile
1167,281978ef87397763e377774740d82c8d87674ae9,2.2/Dockerfile,2.2/jessie/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-09-20 18:41:43+00:00,2014-12-17 15:50:04-06:00,2018-05-22 14:05:57-07:00,2.2/Dockerfile,2032,2018-05-22 21:05:57+00:00,494b0dd834fbf0f2916a35be99023af930b4779b,2.2/jessie/Dockerfile
1162,281978ef87397763e377774740d82c8d87674ae9,2.2/alpine/Dockerfile,2.2/alpine3.4/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-09-20 18:41:43+00:00,2016-01-29 13:36:55-08:00,2018-05-22 14:05:57-07:00,2.2/alpine/Dockerfile,2032,2018-05-22 21:05:57+00:00,494b0dd834fbf0f2916a35be99023af930b4779b,2.2/alpine3.4/Dockerfile
1168,281978ef87397763e377774740d82c8d87674ae9,2.2/slim/Dockerfile,2.2/jessie/slim/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-09-20 18:41:43+00:00,2015-01-23 15:59:46-08:00,2018-05-22 14:05:57-07:00,2.2/slim/Dockerfile,2032,2018-05-22 21:05:57+00:00,494b0dd834fbf0f2916a35be99023af930b4779b,2.2/jessie/slim/Dockerfile
1166,281978ef87397763e377774740d82c8d87674ae9,2.1/alpine/Dockerfile,2.1/alpine/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-09-20 18:41:43+00:00,2016-01-29 13:36:55-08:00,2017-07-05 11:06:41-07:00,2.1/alpine/Dockerfile,2032,2017-07-05 18:06:41+00:00,44c06085695b3654999e2fa23c744c091551883b,2.1/alpine/Dockerfile
1165,281978ef87397763e377774740d82c8d87674ae9,2.1/slim/Dockerfile,2.1/slim/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-09-20 18:41:43+00:00,2015-01-16 17:29:38-08:00,2017-07-05 11:06:41-07:00,2.1/slim/Dockerfile,2032,2017-07-05 18:06:41+00:00,44c06085695b3654999e2fa23c744c091551883b,2.1/slim/Dockerfile
978,6959194971f4f84e9bef2976ae6b8a469fa58dae,2.5-rc/alpine3.6/Dockerfile,2.5-rc/alpine3.6/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2017-10-24 04:33:02+00:00,2017-10-24 13:33:02+09:00,2017-12-08 15:30:20-08:00,2.5-rc/alpine3.6/Dockerfile,1470,2017-12-08 23:30:20+00:00,6ad601794e06ec986cdebc7365c53ca7b05f9e32,2.5-rc/alpine3.6/Dockerfile
1330,b0c1b3c89142267912d8d0b532e206463c7d8ee0,2.7-rc/alpine3.9/Dockerfile,2.7-rc/alpine3.9/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2019-05-30 20:23:26+00:00,2019-05-30 13:23:26-07:00,2019-06-25 15:19:59-07:00,2.7-rc/alpine3.9/Dockerfile,470,2019-06-25 22:19:59+00:00,2a6352e7149815681747c90ddcc378e1cc4a1f2f,2.7-rc/alpine3.9/Dockerfile
