,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,logIndex,DeletedComment Date,Deleted CommitID,Deleted Filename
302,1d2040c390a50eca1338d03c4db5ec2db56ef3e2,grafana/Dockerfile,grafana/Dockerfile,"# TODO verify sha256 values! (add "".sha256"" to the end of this URL)",2018-11-27 02:59:41+00:00,2017-01-04 08:50:02-08:00,,grafana/Dockerfile,721,,,
186,5f053bb00f6af3fad9a1a742cfbd689818160c2c,caff/Dockerfile,caff/Dockerfile,# TODO move this down when COPY adheres to USER (and remove chown),2014-08-26 17:29:53+00:00,2014-08-26 11:29:53-06:00,,caff/Dockerfile,2927,2019-03-02 08:01:20-08:00,3cc9c68e2da6f6f401eb70249aa96e48369dedde,caff/Dockerfile
295,c4f86111caa8c8eab8e1b3a58cdebcf86807169c,sbin-init/ubuntu/upstart/12.10/Dockerfile,sbin-init/ubuntu/upstart/14.10/Dockerfile,"# much of this was gleaned from https://github.com/lxc/lxc/blob/lxc-0.8.0/templates/lxc-ubuntu.in
# and then heavily modified and hacked like crazy",2014-06-06 07:45:59+00:00,2014-01-11 08:56:34-07:00,2019-06-14 13:03:47-07:00,sbin-init/ubuntu/upstart/12.10/Dockerfile,2955,2019-06-14 13:03:47-07:00,9e8ac7f01d20bc0263c0ab3f13f3f2a3be59a54b,sbin-init/ubuntu/upstart/14.10/Dockerfile
296,c4f86111caa8c8eab8e1b3a58cdebcf86807169c,sbin-init/ubuntu/upstart/13.10/Dockerfile,sbin-init/ubuntu/upstart/13.10/Dockerfile,"# much of this was gleaned from https://github.com/lxc/lxc/blob/lxc-0.8.0/templates/lxc-ubuntu.in
# and then heavily modified and hacked like crazy",2014-06-06 07:45:59+00:00,2014-01-11 08:56:34-07:00,2014-09-24 22:05:41-06:00,sbin-init/ubuntu/upstart/13.10/Dockerfile,2955,2014-09-24 22:05:41-06:00,4d24a12b54b75b3e0904d8a285900d88d3326361,sbin-init/ubuntu/upstart/13.10/Dockerfile
297,c4f86111caa8c8eab8e1b3a58cdebcf86807169c,sbin-init/ubuntu/upstart/13.04/Dockerfile,sbin-init/ubuntu/upstart/13.04/Dockerfile,"# much of this was gleaned from https://github.com/lxc/lxc/blob/lxc-0.8.0/templates/lxc-ubuntu.in
# and then heavily modified and hacked like crazy",2014-06-06 07:45:59+00:00,2014-01-11 08:56:34-07:00,2014-09-24 22:05:41-06:00,sbin-init/ubuntu/upstart/13.04/Dockerfile,2955,2014-09-24 22:05:41-06:00,4d24a12b54b75b3e0904d8a285900d88d3326361,sbin-init/ubuntu/upstart/13.04/Dockerfile
298,c4f86111caa8c8eab8e1b3a58cdebcf86807169c,sbin-init/ubuntu/upstart/12.04/Dockerfile,sbin-init/ubuntu/upstart/12.04/Dockerfile,"# much of this was gleaned from https://github.com/lxc/lxc/blob/lxc-0.8.0/templates/lxc-ubuntu.in
# and then heavily modified and hacked like crazy",2014-06-06 07:45:59+00:00,2014-01-11 08:56:34-07:00,2019-06-14 13:03:47-07:00,sbin-init/ubuntu/upstart/12.04/Dockerfile,2955,2019-06-14 13:03:47-07:00,9e8ac7f01d20bc0263c0ab3f13f3f2a3be59a54b,sbin-init/ubuntu/upstart/12.04/Dockerfile
299,c4f86111caa8c8eab8e1b3a58cdebcf86807169c,sbin-init/ubuntu/upstart/14.04/Dockerfile,sbin-init/ubuntu/upstart/14.04/Dockerfile,"# much of this was gleaned from https://github.com/lxc/lxc/blob/lxc-0.8.0/templates/lxc-ubuntu.in
# and then heavily modified and hacked like crazy",2014-06-06 07:45:59+00:00,2014-05-12 15:16:22-06:00,2019-06-14 13:03:47-07:00,sbin-init/ubuntu/upstart/14.04/Dockerfile,2955,2019-06-14 13:03:47-07:00,9e8ac7f01d20bc0263c0ab3f13f3f2a3be59a54b,sbin-init/ubuntu/upstart/14.04/Dockerfile
360,848b89e8272c2689af1499cc7642d3f3c9a31337,toybox/Dockerfile,toybox/Dockerfile,"# TODO set ""TARGET"" appropriately based on ""apk --print-arch"" to avoid ""uname -m"" detection",2020-09-03 21:28:30+00:00,2020-09-03 14:23:59-07:00,,toybox/Dockerfile,11,2020-09-03 14:48:10-07:00,411047ef1ca2cc9ad07033680475386c31500e1f,toybox/Dockerfile
477,217170cf047605cd6919b5382a8af6476431d607,mojo/Dockerfile,mojo/Dockerfile,# TODO pin a version,2019-04-26 04:41:43+00:00,2014-02-23 00:19:59-07:00,,mojo/Dockerfile,525,,,
478,217170cf047605cd6919b5382a8af6476431d607,mojo/Dockerfile,mojo/Dockerfile,# TODO pin versions,2019-04-26 04:41:43+00:00,2014-02-23 00:19:59-07:00,,mojo/Dockerfile,525,,,
