,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList
405,cc546ae75d8b49aa1a59285d94a2cd90a19356ce,4.2-rc/windows/windowsservercore-1803/Dockerfile,4.2-rc/windows/windowsservercore-1803/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-08-07 10:01:33+00:00,2019-06-12 16:19:52-07:00,2019-08-13 09:19:51-07:00,4.2-rc/windows/windowsservercore-1803/Dockerfile
406,cc546ae75d8b49aa1a59285d94a2cd90a19356ce,4.2-rc/windows/windowsservercore-ltsc2016/Dockerfile,4.2-rc/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-08-07 10:01:33+00:00,2019-06-12 16:19:52-07:00,2019-08-13 09:19:51-07:00,4.2-rc/windows/windowsservercore-ltsc2016/Dockerfile
407,9729bf2e22760d7d261eed7328f821b1b9d4aece,3.4-rc/windows/windowsservercore/Dockerfile,3.4-rc/windows/windowsservercore/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2016-11-14 10:45:57-08:00,2016-11-01 13:59:57-07:00,2016-11-29 09:51:38-08:00,3.4-rc/windows/windowsservercore/Dockerfile
408,00c36756db79ec88574eb7543832c8fb298fb4fc,3.2/windows/windowsservercore-ltsc2016/Dockerfile,3.2/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2018-09-05 10:01:34+00:00,2017-11-22 14:27:49-08:00,2018-12-24 10:19:45-08:00,3.2/windows/windowsservercore-ltsc2016/Dockerfile
409,00c36756db79ec88574eb7543832c8fb298fb4fc,3.2/Dockerfile,3.2/Dockerfile,# TODO some sort of download verification here,2018-09-05 10:01:34+00:00,2015-10-31 09:56:32-07:00,2018-12-24 10:19:45-08:00,3.2/Dockerfile
410,00c36756db79ec88574eb7543832c8fb298fb4fc,3.2/windows/windowsservercore-1709/Dockerfile,3.2/windows/windowsservercore-1709/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2018-09-05 10:01:34+00:00,2016-08-17 15:14:23-07:00,2018-12-24 10:19:45-08:00,3.2/windows/windowsservercore-1709/Dockerfile
411,971217f118759c11b2d7127285a390a526248b49,4.4-rc/windows/windowsservercore-ltsc2016/Dockerfile,4.4/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-06-26 16:01:26+00:00,2020-05-27 09:57:58-07:00,,4.4-rc/windows/windowsservercore-ltsc2016/Dockerfile
412,971217f118759c11b2d7127285a390a526248b49,4.4-rc/windows/windowsservercore-1809/Dockerfile,4.4/windows/windowsservercore-1809/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-06-26 16:01:26+00:00,2020-05-27 09:57:58-07:00,,4.4-rc/windows/windowsservercore-1809/Dockerfile
413,8f74a37591685bd5ed82264b969fb77c38d1f83f,4.2/windows/windowsservercore-1809/Dockerfile,4.2/windows/windowsservercore-1809/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-03-10 18:11:01-07:00,2019-12-03 09:26:28-08:00,,4.2/windows/windowsservercore-1809/Dockerfile
414,8f74a37591685bd5ed82264b969fb77c38d1f83f,3.6/windows/windowsservercore-ltsc2016/Dockerfile,3.6/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-03-10 18:11:01-07:00,2017-11-22 16:40:34-08:00,,3.6/windows/windowsservercore-ltsc2016/Dockerfile
415,8f74a37591685bd5ed82264b969fb77c38d1f83f,4.0/windows/windowsservercore-1809/Dockerfile,4.0/windows/windowsservercore-1809/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-03-10 18:11:01-07:00,2019-12-03 09:26:28-08:00,,4.0/windows/windowsservercore-1809/Dockerfile
416,8f74a37591685bd5ed82264b969fb77c38d1f83f,4.0/windows/windowsservercore-ltsc2016/Dockerfile,4.0/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-03-10 18:11:01-07:00,2018-01-16 09:12:18-08:00,,4.0/windows/windowsservercore-ltsc2016/Dockerfile
417,8f74a37591685bd5ed82264b969fb77c38d1f83f,4.2/windows/windowsservercore-ltsc2016/Dockerfile,4.2/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-03-10 18:11:01-07:00,2018-07-17 14:11:36-07:00,,4.2/windows/windowsservercore-ltsc2016/Dockerfile
418,f44106a8d159fabf5aab681021a5929a7a5b3d84,4.0/Dockerfile,4.0/Dockerfile,# TODO some sort of download verification here,2020-06-15 22:01:24+00:00,2018-05-22 08:18:05-07:00,,4.0/Dockerfile
419,f44106a8d159fabf5aab681021a5929a7a5b3d84,4.0/windows/windowsservercore-ltsc2016/Dockerfile,4.0/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-06-15 22:01:24+00:00,2018-01-16 09:12:18-08:00,,4.0/windows/windowsservercore-ltsc2016/Dockerfile
420,f44106a8d159fabf5aab681021a5929a7a5b3d84,4.0/windows/windowsservercore-1809/Dockerfile,4.0/windows/windowsservercore-1809/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-06-15 22:01:24+00:00,2019-12-03 09:26:28-08:00,,4.0/windows/windowsservercore-1809/Dockerfile
421,6d7dddef73dba24e57f1eabff64346950d46157c,4.0/windows/windowsservercore-1803/Dockerfile,4.0/windows/windowsservercore-1803/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-10-14 22:04:33+00:00,2018-07-17 14:11:36-07:00,2019-12-09 14:37:19-08:00,4.0/windows/windowsservercore-1803/Dockerfile
422,6d7dddef73dba24e57f1eabff64346950d46157c,4.0/Dockerfile,4.0/Dockerfile,# TODO some sort of download verification here,2019-10-14 22:04:33+00:00,2018-05-22 08:18:05-07:00,,4.0/Dockerfile
423,6d7dddef73dba24e57f1eabff64346950d46157c,4.0/windows/windowsservercore-ltsc2016/Dockerfile,4.0/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-10-14 22:04:33+00:00,2018-01-16 09:12:18-08:00,,4.0/windows/windowsservercore-ltsc2016/Dockerfile
