,project,list,InTemplate?
120,elastic_kibana,"CONTRIBUTING.md
FAQ.md
Gruntfile.js
Jenkinsfile
LICENSE.txt
NOTICE.txt
README.md
STYLEGUIDE.md
TYPESCRIPT.md
api-documenter.json
common
config
data
docs
examples
github_checks_reporter.json
kibana.d.ts
licenses
package.json
packages
preinstall_check.js
renovate.json5
rfcs
scripts
src
tasks
test
tsconfig.base.json
tsconfig.browser.json
tsconfig.json
tsconfig.refs.json
tsconfig.types.json
typings
utilities
vars
x-pack
yarn.lock
",0
121,hashicorp_docker-consul,"0.X
LICENSE
README.md
",0
122,docker-library_postgres,"10
11
12
13
9.5
9.6
AUTHORS
Dockerfile-alpine.template
Dockerfile-debian.template
LICENSE
README.md
docker-entrypoint.sh
generate-stackbrew-library.sh
update.sh
",1
123,mongodb_mongo,"CONTRIBUTING.rst
CreativeCommons.txt
LICENSE-Community.txt
README
README.third_party.md
SConstruct
buildscripts
debian
distsrc
docs
etc
jstests
pytests
rpm
site_scons
src
",0
124,Perl_docker-perl,"5.008.009-main,threaded-jessie
5.008.009-main-jessie
5.008.009-slim,threaded-jessie
5.008.009-slim-jessie
5.010.001-main,threaded-jessie
5.010.001-main-jessie
5.010.001-slim,threaded-jessie
5.010.001-slim-jessie
5.012.005-main,threaded-jessie
5.012.005-main-jessie
5.012.005-slim,threaded-jessie
5.012.005-slim-jessie
5.014.004-main,threaded-jessie
5.014.004-main-jessie
5.014.004-slim,threaded-jessie
5.014.004-slim-jessie
5.016.003-main,threaded-jessie
5.016.003-main-jessie
5.016.003-slim,threaded-jessie
5.016.003-slim-jessie
5.018.004-main,threaded-jessie
5.018.004-main-jessie
5.018.004-slim,threaded-jessie
5.018.004-slim-jessie
5.020.003-main,threaded-stretch
5.020.003-main-stretch
5.020.003-slim,threaded-stretch
5.020.003-slim-stretch
5.022.004-main,threaded-stretch
5.022.004-main-stretch
5.022.004-slim,threaded-stretch
5.022.004-slim-stretch
5.024.004-main,threaded-stretch
5.024.004-main-stretch
5.024.004-slim,threaded-stretch
5.024.004-slim-stretch
5.026.003-main,threaded-buster
5.026.003-main,threaded-stretch
5.026.003-main-buster
5.026.003-main-stretch
5.026.003-slim,threaded-buster
5.026.003-slim,threaded-stretch
5.026.003-slim-buster
5.026.003-slim-stretch
5.028.003-main,threaded-buster
5.028.003-main,threaded-stretch
5.028.003-main-buster
5.028.003-main-stretch
5.028.003-slim,threaded-buster
5.028.003-slim,threaded-stretch
5.028.003-slim-buster
5.028.003-slim-stretch
5.030.003-main,threaded-buster
5.030.003-main,threaded-stretch
5.030.003-main-buster
5.030.003-main-stretch
5.030.003-slim,threaded-buster
5.030.003-slim,threaded-stretch
5.030.003-slim-buster
5.030.003-slim-stretch
5.032.000-main,threaded-buster
5.032.000-main,threaded-stretch
5.032.000-main-buster
5.032.000-main-stretch
5.032.000-slim,threaded-buster
5.032.000-slim,threaded-stretch
5.032.000-slim-buster
5.032.000-slim-stretch
LICENSE
README.md
config.yml
cpanfile
generate.pl
",0
125,docker-library_kibana,"6
7
Dockerfile.template
LICENSE
README.md
generate-stackbrew-library.sh
update.sh
",1
126,docker-library_tomcat,"10.0
7
8.5
9.0
Dockerfile-apt.template
Dockerfile-yum.template
LICENSE
README.md
generate-stackbrew-library.sh
update.sh
",1
127,docker-library_rabbitmq,"3.8
3.8-rc
Dockerfile-alpine.template
Dockerfile-management.template
Dockerfile-ubuntu.template
LICENSE
README.md
docker-entrypoint.sh
generate-stackbrew-library.sh
update.sh
",1
128,memcached_memcached,"AUTHORS
BUILD
CONTRIBUTING.md
COPYING
ChangeLog
Doxyfile
HACKING
LICENSE
LICENSE.bipbuffer
LICENSE.itoa_ljust
Makefile.am
NEWS
README.md
assoc.c
assoc.h
authfile.c
authfile.h
autogen.sh
bipbuffer.c
bipbuffer.h
cache.c
cache.h
configure.ac
crawler.c
crawler.h
crc32c.c
crc32c.h
daemon.c
devtools
doc
docker-compose.yml
extstore.c
extstore.h
freebsd_priv.c
globals.c
hash.c
hash.h
items.c
items.h
itoa_ljust.c
itoa_ljust.h
jenkins_hash.c
jenkins_hash.h
linux_priv.c
logger.c
logger.h
m4
memcached.c
memcached.h
memcached.spec.in
memcached_dtrace.d
murmur3_hash.c
murmur3_hash.h
openbsd_priv.c
proto_bin.c
proto_bin.h
proto_text.c
proto_text.h
protocol_binary.h
restart.c
restart.h
sasl_defs.c
sasl_defs.h
scripts
sizes.c
slab_automove.c
slab_automove.h
slab_automove_extstore.c
slab_automove_extstore.h
slabs.c
slabs.h
solaris_priv.c
stats_prefix.c
stats_prefix.h
storage.c
storage.h
t
testapp.c
thread.c
timedrun.c
tls.c
tls.h
trace.h
util.c
util.h
version.pl
version.sh
",0
129,jruby_jruby,"BSDL
BUILDING.md
CODE_OF_CONDUCT.md
COPYING
Gemfile
LEGAL
LICENSE.RUBY
README.md
Rakefile
SECURITY.md
VERSION
antlib
bench
bin
core
default.build.properties
findbugs.xml
install
ivy
lib
lifecycle-mapping-metadata.xml
maven
mvnw
mvnw.cmd
pom.rb
pom.xml
rakelib
samples
spec
test
tool
",0
130,nats-io_gnatsd,"CODE-OF-CONDUCT.md
GOVERNANCE.md
LICENSE
MAINTAINERS.md
README.md
ROADMAP.md
TODO.md
conf
doc
docker
go.mod
go.sum
internal
jetstream
logger
logos
main.go
scripts
server
test
util
vendor
",0
131,postfixadmin_postfixadmin,"ADDITIONS
CHANGELOG.TXT
DOCUMENTS
GPL-LICENSE.TXT
INSTALL.TXT
LICENSE.TXT
README.md
VIRTUAL_VACATION
check_mailpass_expiration.sh
common.php
composer.json
config.inc.php
configs
debian
functions.inc.php
index.php
languages
lib
model
password_expiration.sql
phpunit.xml
postfixadmin.my.cnf
psalm.xml
public
scripts
templates
tests
",0
132,convertigo_convertigo,"CHANGELOG.md
CHANGELOG.pre.7-6-0.md
CODE_OF_CONDUCT.md
README.md
build.gradle
changelog.gradle
convertigo-splash
convertigo-templates
docker
eclipse-base
eclipse-feature
eclipse-plugin-jxbrowser-linux64
eclipse-plugin-jxbrowser-mac
eclipse-plugin-jxbrowser-win64
eclipse-plugin-product
eclipse-plugin-studio
eclipse-repository
engine
gradle
gradle-plugin
gradle.properties
gradlew
gradlew.bat
headers.gradle
installers
license.txt
mkDockerLocal.sh
patches
placeholders
pom.xml
settings.gradle
",0
133,tomitribe_docker-tomee,"Dockerfile.template
README-short.txt
README.md
TomEE-7.0
TomEE-7.1
TomEE-8.0
create-server.sh
create-version.sh
create.sh
license.md
logo.png
",1
134,Quantisan_docker-clojure,"LICENSE
README.md
build-images.sh
clean.sh
deps.edn
src
target
test
test.sh
update.sh
",0
135,openSUSE_docker-containers-build,"README.md
manifest.header
",0
136,euleros_euleros-docker-images,,0
137,SAP_SapMachine-infrastructure,"LICENSE
NOTICE
README.md
cloud-infrastructure
debian-templates
dockerfiles
jenkins-job-generator
jenkins_configuration
lib
wix-templates
",0
138,containous_traefik-library-image,,0
139,docker-library_haproxy,"1.7
1.8
2.0
2.1
2.2
2.3-rc
Dockerfile-alpine.template
Dockerfile-debian.template
LICENSE
README.md
generate-stackbrew-library.sh
update.sh
",1
140,fluent_fluentd-docker-image,"Dockerfile.sample
Dockerfile.sample.old
Dockerfile.template.erb
LICENSE
MAINTAINING.md
Makefile
README.md
entrypoint.sh.erb
fluent.conf.erb
post_checkout.erb
post_push.erb
test
v0.12
v0.14
v1.0
v1.1
v1.10
v1.11
v1.2
v1.3
v1.4
v1.5
v1.6
v1.7
v1.8
v1.9
",1
141,kong_kong,"CHANGELOG.md
CODE_OF_CONDUCT.md
CONTRIBUTING.md
COPYRIGHT
DEVELOPER.md
Jenkinsfile
LICENSE
Makefile
README.md
UPGRADE.md
autodoc
bin
kong
kong-2.1.3-0.rockspec
kong.conf.default
scripts
spec
t
",0
142,containous_traefik,"CHANGELOG.md
CODE_OF_CONDUCT.md
CONTRIBUTING.md
Dockerfile
LICENSE.md
Makefile
README.md
SECURITY.md
build.Dockerfile
cmd
contrib
docs
exp.Dockerfile
generate.go
go.mod
go.sum
integration
internal
netlify.toml
pkg
script
tools.go
traefik.sample.toml
webui
",0
143,docker-library_php,"7.2
7.3
7.4
8.0-rc
Dockerfile-alpine.template
Dockerfile-apache-block-1.template
Dockerfile-apache-block-2.template
Dockerfile-debian.template
Dockerfile-fpm-block-1.template
Dockerfile-fpm-block-2.template
Dockerfile-zts-block-1.template
LICENSE
README.md
apache2-foreground
apply-templates.sh
docker-php-entrypoint
docker-php-ext-configure
docker-php-ext-enable
docker-php-ext-install
docker-php-source
generate-stackbrew-library.sh
update.sh
version-id.jq
versions.json
versions.sh
",1
144,crate_docker-crate,"CODE_OF_CONDUCT.md
CONTRIBUTING.rst
Dockerfile
Dockerfile.j2
Dockerfile_3.1.j2
Dockerfile_4.1.j2
LICENSE.txt
README.md
config
docker-entrypoint.sh
docker-entrypoint_3.1.sh
requirements.txt
setup.cfg
tests
update.py
",0
145,composer_docker,"1.10
1.9
2.0
LICENSE
README.md
generate-stackbrew-library.sh
",0
146,ahawkins_docker-thrift,"0.10
0.11
0.12
0.9
LICENSE.md
README.md
",0
147,docker-library_docker,"19.03
19.03-rc
Dockerfile-dind-rootless.template
Dockerfile-dind.template
Dockerfile-git.template
Dockerfile-windows-windowsservercore.template
Dockerfile.template
LICENSE
README.md
docker-entrypoint.sh
dockerd-entrypoint.sh
generate-stackbrew-library.sh
modprobe.sh
release-architectures
update.sh
",1
148,groovy_docker-groovy,"LICENSE
README.md
jdk11
jdk14
jdk8
jre11
jre14
jre8
test
update.ps1
update.sh
",0
149,znc_znc-docker,"README.md
full
slim
",0
150,WASdev_sample.servlet,"CONTRIBUTING.md
LICENSE
README.md
build.gradle
gradle
gradlew
gradlew.bat
pom.xml
settings.gradle
src
",0
151,docker_distribution-library-image,"Dockerfile.noarch
README.md
amd64
arm
arm64
config-example.yml
docker-entrypoint.sh
update.sh
",0
152,wikimedia_mediawiki-docker,"1.31
1.33
1.34
1.35
Dockerfile-alpine.template
Dockerfile-debian.template
LICENSE
README.md
dev
update.sh
",1
153,docker-library_gcc,"10
8
9
Dockerfile.template
LICENSE
README.md
generate-stackbrew-library.sh
update.sh
",1
154,TimWolla_docker-spiped,"1.6
README.md
generate-stackbrew-library.sh
",0
155,docker-library_rails,"Dockerfile
LICENSE
README.md
generate-stackbrew-library.sh
onbuild
update.sh
",0
156,nginxinc_docker-nginx-amplify,"Alpine
Dockerfile
LICENSE
README.md
conf.d
entrypoint.sh
",0
157,joomla_docker-joomla,"Dockerfile-alpine.template
Dockerfile-debian.template
LICENSE
README.md
docker-entrypoint.sh
generate-stackbrew-library.sh
makedb.php
php7.2
php7.3
php7.4
update.sh
",1
158,docker-library_drupal,"7
8.8
8.9
9.0
Dockerfile-7-alpine.template
Dockerfile-7-debian.template
Dockerfile-alpine.template
Dockerfile-debian.template
README.md
generate-stackbrew-library.sh
update.sh
",1
159,TeamSpeak-Systems_teamspeak-linux-docker-images,"LICENSE
README.md
alpine
",0
160,archlinux_archlinux-docker,,0
161,mongo-express_mongo-express-docker,"Dockerfile
LICENSE.md
README.md
build.sh
docker-compose.yml
docker-entrypoint.sh
generate-stackbrew-library.sh
logo.png
pull-request.md
run.sh
update.sh
",0
162,docker-solr_docker-solr,"5.5
6.6
7.7
8.0
8.1
8.2
8.3
8.4
8.5
8.6
Docker-FAQ.md
Dockerfile-varsolr.template
Dockerfile.template
LICENSE
README-short.txt
README.md
TAGS
docs
generate-stackbrew-library.sh
known_keys.txt
logo.png
scripts
scripts-before8
tests
tools
update.md
vagrant
",1
163,neo4j_docker-neo4j,"COPYRIGHT
DEVELOPMENT.md
LICENSE
Makefile
README.md
devenv
devenv.local.template
docker-image-src
make-arm64.mk
make-common.mk
neo4jlabs-plugins.json
pom.xml
src
",0
164,therealprologic_docker-crux,"CONTRIBUTING.md
Dockerfile
LICENSE
Makefile
README.rst
build
release
",0
165,fsprojects_docker-fsharp,"10.2.1
10.2.3
10.6.0
10.7.0
4.0.1.1
4.1.34
LICENSE
README.md
circle-test.sh
circle.yml
",0
166,docker-library_julia,"1.0
1.5
Dockerfile-alpine.template
Dockerfile-debian.template
Dockerfile-windowsservercore.template
LICENSE
README.md
generate-stackbrew-library.sh
release-architectures
update.sh
",1
167,docker-library_mongo,"3.6
4.0
4.2
4.4
Dockerfile-linux.template
Dockerfile-windows.template
LICENSE
README.md
docker-entrypoint.sh
generate-stackbrew-library.sh
gpg-keys.sh
gpg-keys.txt
update.sh
",1
168,docker_swarm-library-image,"Dockerfile
README.md
certs
swarm
swarm-unsupported.exe
tmp
update.sh
",0
169,tianon_docker-brew-ubuntu-core,"CONTRIBUTING.md
LICENSE
README.md
bionic
focal
generate-stackbrew-library.sh
gpg-fingerprint
groovy
latest
rolling
trusty
update.sh
verify.sh
xenial
",0
170,docker-library_docs,"Dockerfile
LICENSE
README.md
adminer
adoptopenjdk
aerospike
alpine
alt
amazoncorretto
amazonlinux
arangodb
archlinux
backdrop
bash
bonita
buildpack-deps
busybox
caddy
cassandra
centos
chronograf
cirros
clearlinux
clefos
clojure
composer
consul
convertigo
couchbase
couchdb
crate
crux
debian
docker
drupal
eclipse-mosquitto
eggdrop
elasticsearch
elixir
erlang
euleros
express-gateway
fedora
flink
fluentd
friendica
fsharp
gazebo
gcc
generate-repo-stub-readme.sh
geonetwork
ghost
golang
gradle
groovy
haproxy
haskell
haxe
hello-world
httpd
hylang
ibmjava
influxdb
irssi
jetty
jobber
joomla
jruby
julia
kaazing-gateway
kapacitor
kibana
known
kong
lightstreamer
logstash
mageia
mariadb
markdownfmt.sh
matomo
maven
mediawiki
memcached
mongo
mongo-express
monica
mono
mysql
nats
nats-streaming
neo4j
neurodebian
nextcloud
nginx
node
notary
nuxeo
odoo
open-liberty
openjdk
opensuse
oraclelinux
orientdb
parallel-update.sh
percona
perl
photon
php
php-zendserver
phpmyadmin
plone
postfixadmin
postgres
push.pl
push.sh
pypy
python
r-base
rabbitmq
rakudo-star
rapidoid
redis
redmine
registry
rethinkdb
rocket.chat
ros
ruby
rust
sapmachine
scratch
sentry
silverpeas
sl
solr
sonarqube
sourcemage
spiped
storm
swarm
swift
swipl
teamspeak
telegraf
thrift
tomcat
tomee
traefik
ubuntu
update.sh
varnish
vault
websphere-liberty
wordpress
xwiki
ymlfmt.sh
yourls
znc
zookeeper
",0
171,caddyserver_caddy-docker,"2.1
2.2
Dockerfile.builder.tmpl
Dockerfile.tmpl
Dockerfile.windows.tmpl
LICENSE
Makefile
README.md
fileCommit.sh
hooks
library
render-dockerfiles.tmpl
renovate.json
stackbrew-config.yaml
stackbrew.tmpl
",0
172,piwik_piwik,"CHANGELOG.md
CONTRIBUTING.md
DIObject.php
LEGALNOTICE
LICENSE
LegacyAutoloader.php
PRIVACY.md
README.md
SECURITY.md
composer.json
composer.lock
config
console
core
index.php
js
lang
libs
matomo.js
matomo.php
misc
node_modules
package-lock.json
package.json
piwik.js
piwik.php
plugins
tests
tmp
",0
173,alpinelinux_docker-alpine,"Dockerfile
LICENSE
README.adoc
docs
fetch-latest-releases.lua
prepare-branch.sh
tests
",0
174,jenkinsci_jenkins-ci.org-docker,"CHANGELOG.md
CONTRIBUTING.md
Dockerfile
Dockerfile-alpine
Dockerfile-centos
Dockerfile-centos7
Dockerfile-jdk11
Dockerfile-openj9
Dockerfile-openj9-jdk11
Dockerfile-slim
HACKING.adoc
Jenkinsfile
LICENSE.txt
Makefile
README.md
docker-compose.yml
install-plugins.sh
jenkins-plugin-cli.sh
jenkins-support
jenkins.sh
multiarch
plugins.sh
tests
tini-shim.sh
tini_pub.gpg
tools
",0
175,nginxinc_nginx-amplify-doc,"README.md
amplify-faq.md
amplify-guide.md
images
",0
176,plone_plone.docker,"4.3
5.0
5.1
5.2
CHANGES.md
LICENSE.txt
README.md
docs
",0
177,hashicorp_consul,"CHANGELOG.md
GNUmakefile
INTERNALS.md
LICENSE
NOTICE.md
README.md
Vagrantfile
acl
agent
api
bench
build-support
codecov.yml
command
connect
contributing
demo
go.mod
go.sum
internal
ipaddr
lib
logging
main.go
main_test.go
package-lock.json
proto
sdk
sentinel
service_os
snapshot
terraform
test
testrpc
tlsutil
types
ui-v2
vendor
version
website
",0
178,hashicorp_docker-vault,"0.X
LICENSE
README.md
",0
179,irssi_irssi,"AUTHORS
COPYING
INSTALL
Makefile.am
NEWS
README.md
TODO
autogen.sh
configure.ac
docs
fuzz-support
irssi-1.pc.in
irssi-icon.png
irssi.conf
m4
meson.build
meson_options.txt
scripts
src
subprojects
tests
themes
utils
",0
180,keeganwitt_docker-gradle,"LICENSE
README.md
jdk11
jdk14
jdk8
jre11
jre14
jre8
test
update.ps1
update.sh
",0
181,matomo-org_matomo,"CHANGELOG.md
CONTRIBUTING.md
DIObject.php
LEGALNOTICE
LICENSE
LegacyAutoloader.php
PRIVACY.md
README.md
SECURITY.md
composer.json
composer.lock
config
console
core
index.php
js
lang
libs
matomo.js
matomo.php
misc
node_modules
package-lock.json
package.json
piwik.js
piwik.php
plugins
tests
tmp
",0
182,rust-lang_docker-rust,"1.46.0
Dockerfile-alpine.template
Dockerfile-debian.template
Dockerfile-slim.template
README.md
x.py
",1
183,erlang_docker-erlang-otp,"17
18
19
20
21
22
23
LICENSE.txt
R15
R16
README.md
elixir
generate-stackbrew-library.sh
master
",0
184,Kong_kubernetes-ingress-controller,"CHANGELOG.md
CODEOWNERS
CODE_OF_CONDUCT.md
CONTRIBUTING.md
Dockerfile
LICENSE
MAINTAINERS.md
Makefile
README.md
cli
deploy
docs
go.mod
go.sum
hack
internal
pkg
",0
185,mono_docker,"6.10.0.104
6.8.0.123
CODE-OF-CONDUCT.md
README-short.txt
README.md
generate-stackbrew-library.sh
logo.png
",0
186,vaygr_docker-sourcemage,"README.md
gurus.gpg
stable
",0
187,neurodebian_dockerfiles,"README.md
dockerfiles
gen_dockerfiles
neurodebian
stackbrew
",0
188,commercialhaskell_stack,,0
189,dshearer_jobber-docker,"LICENSE
README.md
alpine3.7
",0
190,nuxeo_docker-nuxeo,"10.10
7.10
8.10
9.10
LICENSE
README.md
discover-ft
discover-lts
generate-stackbrew-library.sh
master
staging
templates
travis.template
update.py
",0
191,docker-library_owncloud,"10.0
9.1
Dockerfile.template
README.md
generate-stackbrew-library.sh
update.sh
",1
192,docker_compose,"CHANGELOG.md
CHANGES.md
CONTRIBUTING.md
Dockerfile
Jenkinsfile
LICENSE
MAINTAINERS
MANIFEST.in
README.md
Release.Jenkinsfile
SWARM.md
bin
compose
contrib
docker-compose-entrypoint.sh
docker-compose.spec
docker-compose_darwin.spec
docs
experimental
logo.png
project
pyinstaller
requirements-build.txt
requirements-dev.txt
requirements-indirect.txt
requirements.txt
script
setup.cfg
setup.py
tests
tox.ini
",0
193,docker-library_faq,"README.md
TODO.md
",0
194,juanluisbaptiste_docker-brew-mageia,"LICENSE
README.md
build2release
dist
mkimage-buildah.sh
mkimage.sh
",0
195,apple_swift,,0
196,ibm-messaging_mq-docker,"10-listener.mqsc
CHANGELOG.md
CLA.md
Dockerfile
LICENSE
README.md
admin.json
mq-configure-qmgr.sh
mq-create-qmgr.sh
mq-dev-config
mq-dev-config.sh
mq-docker-deprecated.jpg
mq-license-check.sh
mq-monitor-qmgr.sh
mq-parameter-check.sh
mq-pre-create-setup.sh
mq-start-qmgr.sh
mq-stop-container.sh
mq.sh
setup-mqm-web.sh
setup-var-mqm.sh
test
",0
197,appropriate_docker-jetty,"README.md
",0
198,Silverpeas_docker-silverpeas-prod,"Dockerfile
Dockerfile.template
LICENSE
README.md
build.sh
generate-docker-library.sh
generate-dockerfile.sh
src
",1
199,theupdateframework_notary,"CHANGELOG.md
CODE_OF_CONDUCT.md
CONTRIBUTING.md
CONTRIBUTORS
Dockerfile
Jenkinsfile
LICENSE
MAINTAINERS
MAINTAINERS.ALUMNI
MAINTAINERS_RULES.md
Makefile
NOTARY_VERSION
README.md
buildscripts
client
cmd
codecov.yml
const.go
const_nowindows.go
const_windows.go
cross.Dockerfile
cryptoservice
development.mysql.yml
development.postgresql.yml
development.rethink.yml
docker-compose.postgresql.yml
docker-compose.rethink.yml
docker-compose.yml
docs
escrow.Dockerfile
fips.go
fixtures
go.mod
go.sum
hooks
migrations
notary.go
notarysql
passphrase
proto
server
server.Dockerfile
server.minimal.Dockerfile
signer
signer.Dockerfile
signer.minimal.Dockerfile
storage
trustmanager
trustpinning
tuf
utils
vendor
version
",0
200,neo4j_docker-neo4j-publish,"2.3.0
2.3.1
2.3.10
2.3.11
2.3.12
2.3.2
2.3.3
2.3.4
2.3.5
2.3.6
2.3.7
2.3.8
2.3.9
3.0.0
3.0.1
3.0.10
3.0.11
3.0.12
3.0.2
3.0.3
3.0.4
3.0.5
3.0.6
3.0.7
3.0.8
3.0.9
3.1.0
3.1.0-BETA1
3.1.0-M03
3.1.0-M04
3.1.0-M05
3.1.0-M06
3.1.0-M07
3.1.0-M08
3.1.0-M09
3.1.0-M10
3.1.0-M12-beta2
3.1.0-M13-beta3
3.1.0-RC1
3.1.1
3.1.2
3.1.3
3.1.4
3.1.5
3.1.6
3.1.7
3.1.8
3.1.9
3.2.0
3.2.0-alpha01
3.2.0-alpha02
3.2.0-alpha03
3.2.0-alpha04
3.2.0-alpha05
3.2.0-alpha06
3.2.0-alpha07
3.2.0-alpha08
3.2.0-rc1
3.2.0-rc2
3.2.0-rc3
3.2.1
3.2.10
3.2.11
3.2.12
3.2.13
3.2.14
3.2.2
3.2.3
3.2.5
3.2.6
3.2.7
3.2.8
3.2.9
3.3.0
3.3.0-alpha01
3.3.0-alpha02
3.3.0-alpha03
3.3.0-alpha04
3.3.0-alpha05
3.3.0-alpha06
3.3.0-alpha07
3.3.0-beta01
3.3.0-beta02
3.3.0-rc1
3.3.1
3.3.2
3.3.3
3.3.4
3.3.5
3.3.6
3.3.7
3.3.8
3.3.9
3.4.0
3.4.0-alpha01
3.4.0-alpha02
3.4.0-alpha03
3.4.0-alpha04
3.4.0-alpha05
3.4.0-alpha06
3.4.0-alpha07
3.4.0-alpha08
3.4.0-alpha09
3.4.0-beta01
3.4.0-beta02
3.4.0-rc01
3.4.0-rc02
3.4.1
3.4.10
3.4.11
3.4.12
3.4.13
3.4.14
3.4.15
3.4.16
3.4.17
3.4.18
3.4.2
3.4.3
3.4.4
3.4.5
3.4.6
3.4.7
3.4.8
3.4.9
3.5.0
3.5.0-alpha01
3.5.0-alpha02
3.5.0-alpha04
3.5.0-alpha05
3.5.0-alpha06
3.5.0-alpha07
3.5.0-alpha08
3.5.0-alpha09
3.5.0-beta01
3.5.0-beta02
3.5.0-beta03
3.5.0-rc01
3.5.1
3.5.10
3.5.11
3.5.12
3.5.13
3.5.14
3.5.15
3.5.16
3.5.17
3.5.18
3.5.19
3.5.2
3.5.20
3.5.21
3.5.22
3.5.3
3.5.4
3.5.5
3.5.6
3.5.7
3.5.8
3.5.9
4.0.0
4.0.0-rc01
4.0.1
4.0.2
4.0.3
4.0.4
4.0.5
4.0.6
4.0.7
4.0.8
4.1.0
4.1.1
COPYRIGHT
LICENSE
README.md
publish
",0
201,ibm-messaging_mq-container,"CHANGELOG.md
CLA.md
Dockerfile-server
Dockerfile-server.cover
LICENSE
Makefile
NOTICES.txt
README.md
cmd
docs
etc
formatting.mk
incubating
install-build-deps.sh
install-mq-server-prereqs.sh
install-mq.sh
internal
manifests
pkg
test
travis-build-scripts
vendor
web
",0
202,corretto_corretto-8-docker,"CODE_OF_CONDUCT.md
LICENSE
README.md
",0
203,SolaceLabs_solace-ha-docker-compose,"CONTRIBUTING.md
LICENSE
README.md
images
template
",0
204,Bonitasoft-Community_docker_bonita,"7.0
7.1
7.10
7.11
7.2
7.3
7.4
7.5
7.6
7.7
7.8
7.9
JenkinsFile
README.md
build.sh
test
",0
205,aws_aws-eb-glassfish,"4.0-jdk7
4.0-jdk7-aws-eb-onbuild
4.1-jdk8
4.1-jdk8-aws-eb-onbuild
LICENSE.txt
NOTICE.txt
README.md
THIRD-PARTY-LICENSES.txt
eb-glassfish-5.0
generate-stackbrew-library.sh
glassfish-5.0
",0
206,nats-io_nats-docker,"2.1.8
LICENSE
README.md
tests
update-server-version.sh
",0
207,openSUSE_docker-containers,"LICENSE
README.md
derived_images
",0
208,postfixadmin_docker,"Dockerfile-alpine.template
Dockerfile-debian.template
LICENSE
README.md
apache
docker-entrypoint.sh
fpm
fpm-alpine
generate-stackbrew-library.sh
update.sh
",1
209,tianon_docker-brew-ubuntu-debootstrap,"12.04
14.04
15.04
15.10
README.md
components
devel
generate-stackbrew-library.sh
latest
mirror
mkimage.sh
repo
update.sh
",0
210,nginxinc_docker-nginx,"LICENSE
README.md
generate-stackbrew-library.sh
mainline
stable
",0
211,31z4_zookeeper-docker,"3.4.14
3.5.8
3.6.1
LICENSE
README.md
",0
212,docker-library_mysql,"5.6
5.7
8.0
LICENSE
README.md
generate-stackbrew-library.sh
update.sh
",0
213,indiehosters_known,"LICENSE
README.md
docker-compose.yml
nginx.conf
scripts
",0
214,docker_docker,"AUTHORS
CHANGELOG.md
CONTRIBUTING.md
Dockerfile
Dockerfile.buildx
Dockerfile.e2e
Dockerfile.simple
Dockerfile.windows
Jenkinsfile
LICENSE
MAINTAINERS
Makefile
NOTICE
README.md
ROADMAP.md
SECURITY.md
TESTING.md
VENDORING.md
api
builder
cli
client
cmd
codecov.yml
container
contrib
daemon
distribution
dockerversion
docs
errdefs
hack
image
integration
integration-cli
internal
layer
libcontainerd
oci
opts
patches
pkg
plugin
poule.yml
profiles
project
reference
registry
reports
restartmanager
rootless
runconfig
testutil
vendor
vendor.conf
volume
",0
215,debuerreotype_debuerreotype,"Dockerfile
LICENSE
README.md
VERSION
build-all.sh
build.sh
raspbian.sh
scripts
steamos.sh
ubuntu.sh
",0
216,docker-library_cassandra,"2.1
2.2
3.0
3.11
4.0
Dockerfile.template
LICENSE
README.md
apply-templates.sh
docker-entrypoint.sh
generate-stackbrew-library.sh
update.sh
versions.json
versions.sh
",1
217,composer_composer,"CHANGELOG.md
CODE_OF_CONDUCT.md
LICENSE
PORTING_INFO
README.md
UPGRADE-2.0.md
bin
composer.json
composer.lock
doc
phpstan
phpunit.xml.dist
res
src
tests
",0
218,piwik_docker-piwik,"Dockerfile-alpine.template
Dockerfile-debian.template
README.md
apache
docker-entrypoint.sh
fpm
fpm-alpine
generate-stackbrew-library.sh
license.md
php.ini
update.sh
",1
219,SoftwareAG_MLW,"LICENSE
README.md
SECURITY.md
Third-Party License(s) Terms.pdf
azure-pipelines.yml
docker
docs
zmk
zmm
",0
220,friendica_docker,"2020.07
2020.09-dev
2020.09-rc
Dockerfile-alpine.template
Dockerfile-debian.template
LICENSE
README-MAINTENANCE.md
README.md
develop.txt
docker-cron.sh
docker-entrypoint-dev.sh
docker-entrypoint.sh
docker-setup_msmtp.sh
friendica.svg
generate-stackbrew-library.sh
latest.txt
stack.yml
update.sh
upgrade.exclude
",1
221,clearlinux_docker-brew-clearlinux,,0
222,AdoptOpenJDK_openjdk-docker,"10
11
12
13
14
8
9
Jenkinsfile
LICENSE
README.md
build_all.sh
build_latest.sh
common_functions.sh
config
dockerfile_functions.sh
dockerhub_doc_config_update.sh
generate_latest_sums.sh
generate_manifest_script.sh
generate_openj9_scc.sh
linter.sh
slim-java.ps1
slim-java.sh
test_all.sh
test_multiarch.sh
tests
update_all.sh
update_manifest_all.sh
update_multiarch.sh
",0
223,indiehosters_piwik,"LICENSE
README.md
docker-compose.yml
logo.svg
nginx.conf
scripts
",0
224,nealef_clefos,"Dockerfile
LICENSE.md
Makefile
README.md
VERSION
createBase.sh
oss.repo
",0
